sleep_date,sleep_duration_minutes,awake_minutes,light_sleep_minutes,deep_sleep_minutes,rem_minutes,awakenings_count,avg_heart_rate,min_spo2
2026-05-01,471,17,266,90,115,1,58,95
2026-05-02,484,27,274,92,118,2,56,98
2026-05-03,444,17,272,81,91,1,63,98
2026-05-04,393,32,206,92,95,3,63,97
2026-05-05,418,37,234,94,90,3,55,95
2026-05-06,479,16,270,106,103,1,67,96
2026-05-07,403,37,245,76,82,4,60,98
2026-05-08,423,27,210,110,103,2,56,97
2026-05-09,400,29,207,94,99,3,68,96
2026-05-10,463,31,277,92,94,2,58,96
2026-05-11,400,22,194,106,100,2,59,97
2026-05-12,471,21,249,124,98,1,58,96
2026-05-13,479,29,234,131,114,2,65,95
2026-05-14,458,22,247,115,96,1,59,98
2026-05-15,418,34,211,103,104,3,55,95
2026-05-16,495,18,297,90,108,1,56,95
2026-05-17,506,20,241,138,127,1,58,97
2026-05-18,440,14,218,118,104,0,59,95
2026-05-19,421,33,217,107,97,3,64,97
2026-05-20,504,14,273,120,111,0,63,97
2026-05-21,401,14,199,102,100,1,65,95
2026-05-22,491,22,255,121,115,2,61,98
2026-05-23,449,37,230,104,115,4,55,94
2026-05-24,477,34,233,128,116,3,65,96
2026-05-25,404,10,236,84,84,0,66,96
2026-05-26,454,13,234,116,104,1,68,96
2026-05-27,497,14,259,121,117,0,60,95
2026-05-28,459,39,216,126,117,4,55,98
2026-05-29,431,21,244,98,89,2,68,96
2026-05-30,420,40,236,78,106,4,56,94
2026-05-31,483,34,275,110,98,3,63,95
